TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
New Route,,Bengaluru,Sanjay Nagara (towards BHOOPASANDRA),Yeshwanthpura Circle (towards TOWARDS JALAHALLI CROSS),,5.30 to 7pm no buses in route.,????????????????,29-Dec-15
Other,,Bengaluru,,,,"Extend present service of volvo AC bus: Most of the volvo buses those commutes via KR Puram have destination only till hebbala fly over.  I have seen people who are working in ITPL, Manyatha techpark and  other locations in this stretch will be struggling to get the buses to reach places like MAthikere, BEL circle yeshwanthpur, Peenya and gorgunte palya. People who are working in these locations like ITPL and manyatha techpark have to catch atleast two  buses to reach yeshwanthpur and it will take lot of time, hence most the people will either come by their own vehicle or they will try to catch private cabs by compromising with their safety as ordinary buses will be too crowded especially in the evening. I request you to extend the present Volvo bus services(like 500C, 500D) till yeshwanthpur instead of hebbal flyover. ",,15-Dec-15
New Route,,Bengaluru,Ganigara Palya (towards KANAKAPURA ROAD),Raghuvanahalli Cross (towards TOWARDS CORPORATION),,At present there are very few routes connecting interiors of Vajrahalli road to Kanakpura road. Increase in frequency of route 217/378D (or) introducing additional routes will help,,16-Dec-15
Increase Frequency,356M,Bengaluru,,,,PLEASE INCREASE THE BUS ROUTES FROM ANEKAL TO MAJESTIC,,29-Dec-15
Other,,Bengaluru,,,,Please extend the Anjanapura last bus stop to till Anjanapur BDA layout 2nd block circle.it is very convenient to layout residents.,,30-Dec-15
Increase Frequency,215A,Bengaluru,,,,"Need to increase Frequency of busses for Jambusavari dinne 215H from majestic bus stand.
At night after 9 PM its very difficult to reach Jambusavari dinne. There are no busses at all in this route from majestic at night time.","??????????? 215-???? ????? 11 ????????????, ????? ???????????????????.",25-Nov-15
New Route,,Bengaluru,Chandapura (towards DOMMASANDRA),Jadagenahalli (towards MALURU),,"Need buses From Chandapura to Jadigenahalli (route Via-Dommasandra, Gunjur, Nerige, Bellikere, Muthkur, Anugondanahalli, Devalapura, Makanahalli, Kattigenahalli) this is more requirement.",,27-Nov-15
Increase Frequency,JPV-10,Bengaluru,,,,We dont have busses of route number 10[KBS TO AVALAHALLI BDA PARK ] ESPICIALLY IN Evenings.We have to wait for almost 1-2 Hrs and go for other buses.Kindly increase frequency of route number 10.,"??????????? 10-?? ????? 3 ????????????, ????? ???????????????????.",25-Nov-15
Increase Frequency,600FC,Bengaluru,,,,during peak hours the frequency of 600F(FLYOVER) is very less please increase the frequency,,27-Nov-15
New Route,,Bengaluru,Bannerghatta Circle (towards TOWARDS BANNERGHATTA NATIONAL PARK),Trinity Circle (towards TOWARDS M G ROAD),,"Have been commuting by bus since 2006. Till date despite the presence of many banks on MG Road and other major private firms , there is no single bus during office hours to and fro Bannerghatta Road. Commuters are to walk from G-4 Brigade road till MG Road upto Trinity Circle which is impossible in the morning business.VOLVO for office goers till trinity circle beyond Mayo Hall needs to be introduced. Same for evening at 1/2 hr frequency 5.45 Trinity
6.15 trinity
6.45 pm trinity
Kindly introduce. ",,27-Nov-15
