Route_No,DEVICE_ID,vehicle_no,schedule_name,SIM_NUMBER
284,150222774,KA01F8860,284/5-All Days,8494930821
KIAS-8C,150219661,KA57F0200,KIAS-8C/1-All Days,9987887849
KIAS-9,150221137,KA01F9501,KIAS-9/6-All Days,9987887706
KIAS-9,150221180,KA57F0203,KIAS-9/11-All Days,9987887746
V-195,150219914,KA01F3926,V-195/3-All Days,9987892394
V-335E,150220874,KA01F8797,V-335E/23-Week Days,9987893818
V-335E,150220969,KA01FA1336,V-335E/2-All Days,9987892717
KIAS-9,150221184,KA57F0332,KIAS-9/7-All Days,9987887756
KIAS-9,150221430,KA57F0321,KIAS-9/9-All Days,9987889047
KIAS-9,150221517,KA01F9502,KIAS-9/8-All Days,9987887960
KIAS-9,150221683,KA01F9499,KIAS-9/2-All Days,9987889024
V-360B,150221311,KA01FA1748,V-360B/36-All Days,9987893970
V-365,150219789,KA57F0969,V-365/26-Holiday,9987898161
KIAS-8C,150219262,KA57F1348,KIAS-8C/3-All Days,9987895021
V-335E,150220979,KA57F1175,V-335E/10-Holiday,9987897819
V-356C,150221216,KA57F0970,V-356C/15-Week Days,9987893251
V-319CT,150221411,KA57F1263,V-319CT/6-Holiday,9987894126
V-505A,150221070,KA57F1185,V-505A/4-Week Days,8828031291
KIAS-12,150221596,KA57F0318,KIAS-12/1-All Days,8828031281
V-356,150219429,KA57F1101,V-356/14-Holiday,8828031030
V-360B,150220638,KA01F9069,V-360B/16-All Days,8828028663
V-500D,150221781,KA01F4409,V-500D/42-All Days,8828031034
KIAS-7A,150221477,KA57F0133,KIAS-7A/4-All Days,8828031245
KIAS-7A,150220481,KA57F0237,KIAS-7A/1-All Days,8828031301
V-500FA,150221178,KA01FA2327,V-500FA/4-All Days,8828028682
V-360B,150221893,KA01FA1637,V-360B/12-All Days,8828031249
KIAS-8,150218179,KA57F0224,KIAS-8/9-All Days,8828028710
V-500K,150220795,KA01FA2330,V-500K/21-All Days,8828031048
V-500CA,150218149,KA01F9587,V-500CA/4-Week Days,8828031280
V-500D,150220134,KA01F4408,V-500D/28-All Days,8828030992
V-201R,150220623,KA01FA2295,V-201R/11-All Days,8828031047
V-500K,150219916,KA01F4382,V-500K/19-All Days,8828028639
KIAS-7,150221407,KA57F0223,KIAS-7/4-All Days,8828031039
V-500W,150220325,KA01F9003,V-500W/3-Week Days,8828031054
V-342F,150218351,KA01F8836,V-342F/4-Holiday,8828028635
V-342F,150222286,KA01FA1348,V-342F/8-All Days,8828028713
V-201R,150221818,KA57F0912,V-201R/22-Week Days,8828031292
V-356C,150220785,KA01F4613,V-356C/13-All Days,8828031045
KIAS-12,150222935,KA57F0153,KIAS-12/6-All Days,8828028711
V-356,150219240,KA57F1102,V-356/15-Holiday,9867359779
V-500D,150220401,KA57F1137,V-500D/53-Week Days,8828031289
KIAS-12,150222162,KA57F0154,KIAS-12/5-All Days,8828031282
KIAS-7,150220662,KA57F0227,KIAS-7/3-All Days,8828031268
V-360B,150219316,KA01FA1366,V-360B/8-All Days,8828028637
KIAS-7A,150219609,KA57F0316,KIAS-7A/3-All Days,8828031248
KIAS-8,150221690,KA57F0317,KIAS-8/10-All Days,8828031259
V-500D,150221658,KA57F0967,V-500D/29-Week Days,8828028662
KIAS-12,150218235,KA57F0155,KIAS-12/3-All Days,8828031058
V-360B,150220335,KA01F4608,V-360B/30-Week Days,8828031075
V-360B,150220222,KA01FA1742,V-360B/21-Week Days,8828031257
V-342F,150221162,KA01F4525,V-342F/10-All Days,8828031253
V-500D,150219307,KA01FA2041,V-500D/20-All Days,9987863596
V-362E,150221183,KA01FA1609,V-362E/1-All Days,8828031162
V-500CA,150219357,KA01F4610,V-500CA/6-Holiday,9987862392
V-500BC,150221185,KA01FA1927,V-500BC/2-All Days,8828031175
V-500D,150220627,KA01FA1610,V-500D/19-All Days,9987863645
V-335PE,150220354,KA57F0998,V-335PE/1-Week Days,8828031098
KIAS-8,150220230,KA57F1181,KIAS-8/14-All Days,8828031343
V-500D,150219612,KA57F0907,V-500D/5-Holiday,9987862947
V-500D,150219339,KA57F0823,V-500D/4-Holiday,8828031270
V-500D,150220910,KA57F0792,V-500D/36-Week Days,9987863718
V-500E,150221367,KA01FA1853,V-500E/5-All Days,8828031142
V-500D,150221404,KA01FA1814,V-500D/25-All Days,9987863218
V-500D,150221047,KA57F0822,V-500D/34-Holiday,8828031105
V-500A,150221456,KA01FA2055,V-500A/27-All Days,9987862426
V-335PE,150220120,KA01FA1946,V-335PE/8-All Days,8828031339
V-500CA,150221312,KA01F9094,V-500CA/36-All Days,8828031173
V-500D,150221655,KA01FA1851,V-500D/49-All Days,8828031231
V-500D,150219685,KA01FA1551,V-500D/10-All Days,8828031304
V-500D,150221065,KA57F0124,V-500D/45-Holiday,9987862809
V-335PE,150220984,KA01FA1842,V-335PE/5-All Days,8828031342
V-500E,150220685,KA01FA1818,V-500E/1-All Days,9987862479
V-276,150220975,KA01FA1550,V-276/1-Week Days,9987862758
V-500D,150220081,KA57F0994,V-500D/35-Holiday,8828031086
V-333P,150219989,KA01FA1930,V-333P/4-All Days,8828031092
V-502G,150220381,KA01FA2270,V-502G/6-All Days,8828031325
V-362E,150219727,KA01FA1929,V-362E/3-All Days,9987862458
V-500D,150221918,KA01FA1751,V-500D/6-All Days,9987863585
V-500D,150221591,KA57F0793,V-500D/27-Week Days,9987862539
V-500DF,150221376,KA57F1182,V-500DF/2-All Days,9987862556
V-500E,150220195,KA01FA2043,V-500E/6-All Days,8828031321
V-335PE,150220517,KA01FA2273,V-335PE/6-All Days,8828031035
